is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Организаторские способности, лидерство (СК) (393_4)",Консультирование по медицинским услугам (2185_33),Составление и контроль графика приема пациентов (2186_33),Командность (СК) (1371_4),"Ответственность , добросовестность (СК) (614_4)",Клиентоцентричность (клиенториентированность) (СК) (626_4),Исходящие звонки (3581_33),Стрессоустойчивость (СК) (601_4),Внимательность (СК) (536_4),Английский язык (ЯС) (1918_32),"Восприятие, мышление, внимание, память (УСК) (1330_4)",Пунктуальность (СК) (612_4),Вежливость (СК) (581_4)
False,1.0,Новосибирская область,0,False,13500.0,47000.0,5248.731,4723.8579,4676.1421,3864.9746,3626.3959,3435.533,3340.1015,3340.1015,3292.3858,3292.3858,2910.6599,2767.5127,2481.2183
False,1.0,Новосибирская область,0,True,25000.0,27000.0,3015.2284,2713.7056,2686.2944,2220.3046,2083.2487,1973.6041,1918.7817,1918.7817,1891.3706,1891.3706,1672.0812,1589.8477,1425.3807
False,1.0,Краснодарский край,0,False,2000.0,60000.0,6700.5076,6030.4569,5969.5431,4934.0102,4629.4416,4385.7868,4263.9594,4263.9594,4203.0457,4203.0457,3715.736,3532.9949,3167.5127
False,1.0,Краснодарский край,0,True,20000.0,30000.0,3350.2538,3015.2284,2984.7716,2467.0051,2314.7208,2192.8934,2131.9797,2131.9797,2101.5228,2101.5228,1857.868,1766.4975,1583.7563
False,1.0,Свердловская область,0,False,18500.0,55000.0,6142.132,5527.9188,5472.0812,4522.8426,4243.6548,4020.3046,3908.6294,3908.6294,3852.7919,3852.7919,3406.0914,3238.5787,2903.5533
False,1.0,Калининградская область,1,False,20000.0,35000.0,3908.6294,3517.7665,3482.2335,2878.1726,2700.5076,2558.3756,2487.3096,2487.3096,2451.7766,2451.7766,2167.5127,2060.9137,1847.7157
False,1.0,Калининградская область,1,True,20000.0,28000.0,3126.9036,2814.2132,2785.7868,2302.5381,2160.4061,2046.7005,1989.8477,1989.8477,1961.4213,1961.4213,1734.0102,1648.731,1478.1726
False,1.0,Рязанская область,1,False,15000.0,35000.0,3908.6294,3517.7665,3482.2335,2878.1726,2700.5076,2558.3756,2487.3096,2487.3096,2451.7766,2451.7766,2167.5127,2060.9137,1847.7157
False,1.0,Тюменская область,1,False,17625.0,35000.0,3908.6294,3517.7665,3482.2335,2878.1726,2700.5076,2558.3756,2487.3096,2487.3096,2451.7766,2451.7766,2167.5127,2060.9137,1847.7157
False,1.0,Тюменская область,1,True,30000.0,30000.0,3350.2538,3015.2284,2984.7716,2467.0051,2314.7208,2192.8934,2131.9797,2131.9797,2101.5228,2101.5228,1857.868,1766.4975,1583.7563
False,1.0,Калужская область,1,False,25000.0,35000.0,3908.6294,3517.7665,3482.2335,2878.1726,2700.5076,2558.3756,2487.3096,2487.3096,2451.7766,2451.7766,2167.5127,2060.9137,1847.7157
False,1.0,Калужская область,1,True,27000.0,27000.0,3015.2284,2713.7056,2686.2944,2220.3046,2083.2487,1973.6041,1918.7817,1918.7817,1891.3706,1891.3706,1672.0812,1589.8477,1425.3807
False,1.0,Новгородская область,1,False,25000.0,35000.0,3908.6294,3517.7665,3482.2335,2878.1726,2700.5076,2558.3756,2487.3096,2487.3096,2451.7766,2451.7766,2167.5127,2060.9137,1847.7157
False,1.0,Воронежская область,2,False,18500.0,40000.0,4467.0051,4020.3046,3979.6954,3289.3401,3086.2944,2923.8579,2842.6396,2842.6396,2802.0305,2802.0305,2477.1574,2355.3299,2111.6751
False,1.0,Воронежская область,2,True,25000.0,30000.0,3350.2538,3015.2284,2984.7716,2467.0051,2314.7208,2192.8934,2131.9797,2131.9797,2101.5228,2101.5228,1857.868,1766.4975,1583.7563
False,1.0,Ханты-Мансийский автономный округ — Югра,1,False,20000.0,80000.0,8934.0102,8040.6091,7959.3909,6578.6802,6172.5888,5847.7157,5685.2792,5685.2792,5604.0609,5604.0609,4954.3147,4710.6599,4223.3503
False,1.0,Ханты-Мансийский автономный округ — Югра,1,True,20000.0,30000.0,3350.2538,3015.2284,2984.7716,2467.0051,2314.7208,2192.8934,2131.9797,2131.9797,2101.5228,2101.5228,1857.868,1766.4975,1583.7563
False,1.0,Владимирская область,1,False,20000.0,35000.0,3908.6294,3517.7665,3482.2335,2878.1726,2700.5076,2558.3756,2487.3096,2487.3096,2451.7766,2451.7766,2167.5127,2060.9137,1847.7157
False,1.0,Тверская область,1,False,20000.0,35000.0,3908.6294,3517.7665,3482.2335,2878.1726,2700.5076,2558.3756,2487.3096,2487.3096,2451.7766,2451.7766,2167.5127,2060.9137,1847.7157
False,1.0,Республика Бурятия,1,False,25000.0,30000.0,3350.2538,3015.2284,2984.7716,2467.0051,2314.7208,2192.8934,2131.9797,2131.9797,2101.5228,2101.5228,1857.868,1766.4975,1583.7563
False,1.0,Республика Крым,1,False,20000.0,40000.0,4467.0051,4020.3046,3979.6954,3289.3401,3086.2944,2923.8579,2842.6396,2842.6396,2802.0305,2802.0305,2477.1574,2355.3299,2111.6751
False,1.0,Мурманская область,1,False,22250.0,35000.0,3908.6294,3517.7665,3482.2335,2878.1726,2700.5076,2558.3756,2487.3096,2487.3096,2451.7766,2451.7766,2167.5127,2060.9137,1847.7157
False,1.0,Республика Коми,1,False,20000.0,35000.0,3908.6294,3517.7665,3482.2335,2878.1726,2700.5076,2558.3756,2487.3096,2487.3096,2451.7766,2451.7766,2167.5127,2060.9137,1847.7157
False,1.0,Костромская область,1,False,20000.0,35000.0,3908.6294,3517.7665,3482.2335,2878.1726,2700.5076,2558.3756,2487.3096,2487.3096,2451.7766,2451.7766,2167.5127,2060.9137,1847.7157
False,1.0,Белгородская область,2,False,20000.0,40000.0,4467.0051,4020.3046,3979.6954,3289.3401,3086.2944,2923.8579,2842.6396,2842.6396,2802.0305,2802.0305,2477.1574,2355.3299,2111.6751
False,1.0,Белгородская область,2,True,20000.0,25000.0,2791.8782,2512.6904,2487.3096,2055.8376,1928.934,1827.4112,1776.6497,1776.6497,1751.269,1751.269,1548.2234,1472.0812,1319.797
False,1.0,Еврейская автономная область,1,False,24465.0,30000.0,3350.2538,3015.2284,2984.7716,2467.0051,2314.7208,2192.8934,2131.9797,2131.9797,2101.5228,2101.5228,1857.868,1766.4975,1583.7563
False,1.0,Ленинградская область,1,False,24465.0,46400.0,5181.7259,4663.5533,4616.4467,3815.6345,3580.1015,3391.6751,3297.4619,3297.4619,3250.3553,3250.3553,2873.5025,2732.1827,2449.5431
False,1.0,Ленинградская область,1,True,24465.0,36000.0,4020.3046,3618.2741,3581.7259,2960.4061,2777.665,2631.4721,2558.3756,2558.3756,2521.8274,2521.8274,2229.4416,2119.797,1900.5076
False,1.0,Приморский край,1,False,35000.0,50000.0,5583.7563,5025.3807,4974.6193,4111.6751,3857.868,3654.8223,3553.2995,3553.2995,3502.5381,3502.5381,3096.4467,2944.1624,2639.5939
False,1.0,Амурская область,1,False,24465.0,36000.0,4020.3046,3618.2741,3581.7259,2960.4061,2777.665,2631.4721,2558.3756,2558.3756,2521.8274,2521.8274,2229.4416,2119.797,1900.5076
False,1.0,Сахалинская область,1,False,30000.0,47500.0,5304.5685,4774.1117,4725.8883,3906.0914,3664.9746,3472.0812,3375.6345,3375.6345,3327.4112,3327.4112,2941.6244,2796.9543,2507.6142
False,1.0,Республика Хакасия,1,False,24465.0,35000.0,3908.6294,3517.7665,3482.2335,2878.1726,2700.5076,2558.3756,2487.3096,2487.3096,2451.7766,2451.7766,2167.5127,2060.9137,1847.7157
False,1.0,Орловская область,1,False,27000.0,35000.0,3908.6294,3517.7665,3482.2335,2878.1726,2700.5076,2558.3756,2487.3096,2487.3096,2451.7766,2451.7766,2167.5127,2060.9137,1847.7157
False,1.0,Магаданская область,1,False,50000.0,60000.0,6700.5076,6030.4569,5969.5431,4934.0102,4629.4416,4385.7868,4263.9594,4263.9594,4203.0457,4203.0457,3715.736,3532.9949,3167.5127
False,1.0,Ямало-Ненецкий автономный округ,1,False,32500.0,50000.0,5583.7563,5025.3807,4974.6193,4111.6751,3857.868,3654.8223,3553.2995,3553.2995,3502.5381,3502.5381,3096.4467,2944.1624,2639.5939
False,1.0,Ямало-Ненецкий автономный округ,1,True,42000.0,42000.0,4690.3553,4221.3198,4178.6802,3453.8071,3240.6091,3070.0508,2984.7716,2984.7716,2942.132,2942.132,2601.0152,2473.0964,2217.2589
False,1.0,Республика Саха (Якутия),1,False,32500.0,46700.0,5215.2284,4693.7056,4646.2944,3840.3046,3603.2487,3413.6041,3318.7817,3318.7817,3271.3706,3271.3706,2892.0812,2749.8477,2465.3807
False,1.0,Запорожская область,1,False,6500.0,6500.0,725.8883,653.2995,646.7005,534.5178,501.5228,475.1269,461.9289,461.9289,455.3299,455.3299,402.5381,382.7411,343.1472
False,1.0,Чеченская Республика,1,False,20000.0,20000.0,2233.5025,2010.1523,1989.8477,1644.6701,1543.1472,1461.9289,1421.3198,1421.3198,1401.0152,1401.0152,1238.5787,1177.665,1055.8376
False,0.0,Город федерального значения Москва,0,False,3000.0,80000.0,8934.0102,8040.6091,7959.3909,6578.6802,6172.5888,5847.7157,5685.2792,5685.2792,5604.0609,5604.0609,4954.3147,4710.6599,4223.3503
False,0.0,Город федерального значения Москва,0,True,29000.0,58000.0,6477.1574,5829.4416,5770.5584,4769.5431,4475.1269,4239.5939,4121.8274,4121.8274,4062.9442,4062.9442,3591.8782,3415.2284,3061.9289
False,0.0,Алтайский край,2,False,16000.0,38000.0,4243.6548,3819.2893,3780.7107,3124.8731,2931.9797,2777.665,2700.5076,2700.5076,2661.9289,2661.9289,2353.2995,2237.5635,2006.0914
False,0.0,Город федерального значения Санкт-Петербург,0,False,13200.0,70000.0,7817.2589,7035.533,6964.467,5756.3452,5401.0152,5116.7513,4974.6193,4974.6193,4903.5533,4903.5533,4335.0254,4121.8274,3695.4315
False,0.0,Город федерального значения Санкт-Петербург,0,True,10000.0,50000.0,5583.7563,5025.3807,4974.6193,4111.6751,3857.868,3654.8223,3553.2995,3553.2995,3502.5381,3502.5381,3096.4467,2944.1624,2639.5939
False,0.0,Московская область,2,False,25000.0,60000.0,6700.5076,6030.4569,5969.5431,4934.0102,4629.4416,4385.7868,4263.9594,4263.9594,4203.0457,4203.0457,3715.736,3532.9949,3167.5127
False,0.0,Московская область,2,True,24500.0,40000.0,4467.0051,4020.3046,3979.6954,3289.3401,3086.2944,2923.8579,2842.6396,2842.6396,2802.0305,2802.0305,2477.1574,2355.3299,2111.6751
False,0.0,Ростовская область,0,False,17000.0,40000.0,4467.0051,4020.3046,3979.6954,3289.3401,3086.2944,2923.8579,2842.6396,2842.6396,2802.0305,2802.0305,2477.1574,2355.3299,2111.6751
False,0.0,Ростовская область,0,True,25000.0,25000.0,2791.8782,2512.6904,2487.3096,2055.8376,1928.934,1827.4112,1776.6497,1776.6497,1751.269,1751.269,1548.2234,1472.0812,1319.797
False,0.0,Саратовская область,2,False,15000.0,25000.0,2791.8782,2512.6904,2487.3096,2055.8376,1928.934,1827.4112,1776.6497,1776.6497,1751.269,1751.269,1548.2234,1472.0812,1319.797
False,0.0,Саратовская область,2,True,18000.0,18000.0,2010.1523,1809.1371,1790.8629,1480.203,1388.8325,1315.736,1279.1878,1279.1878,1260.9137,1260.9137,1114.7208,1059.8985,950.2538
False,0.0,Республика Башкортостан,0,False,15000.0,40000.0,4467.0051,4020.3046,3979.6954,3289.3401,3086.2944,2923.8579,2842.6396,2842.6396,2802.0305,2802.0305,2477.1574,2355.3299,2111.6751
False,0.0,Республика Башкортостан,0,True,18000.0,27000.0,3015.2284,2713.7056,2686.2944,2220.3046,2083.2487,1973.6041,1918.7817,1918.7817,1891.3706,1891.3706,1672.0812,1589.8477,1425.3807
False,0.0,Нижегородская область,0,False,17000.0,40000.0,4467.0051,4020.3046,3979.6954,3289.3401,3086.2944,2923.8579,2842.6396,2842.6396,2802.0305,2802.0305,2477.1574,2355.3299,2111.6751
