is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Дисциплинированность (СК) (593_4),Выполнение маневровой работы машинистом метрополитена (1920_28),"Личные установки и ценности, мировоззрение (2043_4)",Исполнение инструкций и правил машинистом метрополитена (1924_28),Управление локомотивами (РЖД) (3677_23),Управление электропоездом метрополитена (1913_28),Обеспечение безопасности перевозок и культуры обслуживания ( машинист метрополитена) (1927_28),Командность (СК) (1371_4),"Знания правил, инструкций машиниста метрополитена (1923_28)",Техническое обслуживание поездов (машинист РЖД) (1848_23),Пунктуальность (СК) (612_4),Высокая работоспособность (СК) (586_4),Выполнение графика движения машистом метрополитена (1921_28),Выполнение маневровой работы (составитель поездов) (3671_23),"Устранение неисправностей, возникших в пути следования (машинист РЖД) (3789_23)",Инициативность (СК) (610_4),Коммуникабельность (СК) (617_4),Знание правил подготовки и управления поездом (машинист РЖД) (3765_23),Контроль за правильностью сцепления поезда с первым вагоном (машинист РЖД) (3788_23)
False,1.0,Московская область,2,False,33750.0,80000.0,10813.6832,8993.6898,7093.9887,6828.2962,6629.0269,6031.2189,4211.2255,3108.6018,3095.3172,2975.7556,2975.7556,2696.7785,2656.9246,2617.0707,2431.086,2271.6705,1727.001,1434.7393,1408.17
False,1.0,Город федерального значения Санкт-Петербург,0,False,40000.0,80000.0,10813.6832,8993.6898,7093.9887,6828.2962,6629.0269,6031.2189,4211.2255,3108.6018,3095.3172,2975.7556,2975.7556,2696.7785,2656.9246,2617.0707,2431.086,2271.6705,1727.001,1434.7393,1408.17
False,1.0,Красноярский край,1,False,45500.0,80000.0,10813.6832,8993.6898,7093.9887,6828.2962,6629.0269,6031.2189,4211.2255,3108.6018,3095.3172,2975.7556,2975.7556,2696.7785,2656.9246,2617.0707,2431.086,2271.6705,1727.001,1434.7393,1408.17
False,1.0,Мурманская область,1,False,50000.0,58500.0,7907.5058,6576.6357,5187.4792,4993.1916,4847.4759,4410.3288,3079.4587,2273.1651,2263.4507,2176.0213,2176.0213,1972.0193,1942.8761,1913.733,1777.7317,1661.1591,1262.8695,1049.1531,1029.7243
False,1.0,Ямало-Ненецкий автономный округ,1,False,60000.0,76506.0,10341.3955,8600.8904,6784.1588,6530.0704,6339.5042,5767.8054,4027.3002,2972.8336,2960.1292,2845.7894,2845.7894,2578.9967,2540.8834,2502.7702,2324.9083,2172.4553,1651.5742,1372.0771,1346.6682
False,1.0,Ханты-Мансийский автономный округ — Югра,1,False,90000.0,104000.0,14057.7881,11691.7967,9222.1853,8876.7851,8617.735,7840.5845,5474.5932,4041.1823,4023.9123,3868.4822,3868.4822,3505.812,3454.002,3402.192,3160.4118,2953.1717,2245.1013,1865.1611,1830.6211
False,1.0,Республика Саха (Якутия),1,False,60000.0,66000.0,8921.2886,7419.7941,5852.5407,5633.3444,5468.9472,4975.7556,3474.261,2564.5965,2553.6367,2454.9983,2454.9983,2224.8422,2191.9628,2159.0834,2005.646,1874.1282,1424.7758,1183.6599,1161.7403
False,0.0,Тамбовская область,2,False,7046.0,27470.0,3713.1485,3088.2082,2435.8984,2344.6662,2276.2421,2070.9698,1446.0296,1067.4161,1062.8545,1021.8001,1021.8001,926.0063,912.3215,898.6367,834.7742,780.0349,593.009,492.6536,483.5304
False,0.0,Республика Северная Осетия,1,False,22000.0,22000.0,2973.7629,2473.2647,1950.8469,1877.7815,1822.9824,1658.5852,1158.087,854.8655,851.2122,818.3328,818.3328,741.6141,730.6543,719.6945,668.5487,624.7094,474.9253,394.5533,387.2468
False,0.0,Ставропольский край,2,False,11500.0,27470.0,3713.1485,3088.2082,2435.8984,2344.6662,2276.2421,2070.9698,1446.0296,1067.4161,1062.8545,1021.8001,1021.8001,926.0063,912.3215,898.6367,834.7742,780.0349,593.009,492.6536,483.5304
False,0.0,Ульяновская область,1,False,6656.0,58000.0,7839.9203,6520.4251,5143.1418,4950.5148,4806.0445,4372.6337,3053.1385,2253.7363,2244.1049,2157.4228,2157.4228,1955.1644,1926.2703,1897.3763,1762.5374,1646.9611,1252.0757,1040.186,1020.9233
False,0.0,Республика Марий Эл,1,False,11281.0,23000.0,3108.9339,2585.6858,2039.5218,1963.1352,1905.8452,1733.9754,1210.7273,893.723,889.9037,855.5297,855.5297,775.3238,763.8658,752.4078,698.9372,653.1053,496.5128,412.4875,404.8489
False,0.0,Белгородская область,2,False,17500.0,40000.0,5406.8416,4496.8449,3546.9944,3414.1481,3314.5135,3015.6094,2105.6128,1554.3009,1547.6586,1487.8778,1487.8778,1348.3892,1328.4623,1308.5354,1215.543,1135.8353,863.5005,717.3696,704.085
False,0.0,Краснодарский край,0,False,15819.0,100000.0,13517.104,11242.1123,8867.4859,8535.3703,8286.2836,7539.0236,5264.0319,3885.7522,3869.1465,3719.6945,3719.6945,3370.9731,3321.1558,3271.3384,3038.8575,2839.5882,2158.7512,1793.4241,1760.2126
False,0.0,Челябинская область,0,False,16000.0,45000.0,6082.6968,5058.9505,3990.3686,3840.9166,3728.8276,3392.5606,2368.8143,1748.5885,1741.1159,1673.8625,1673.8625,1516.9379,1494.5201,1472.1023,1367.4859,1277.8147,971.4381,807.0409,792.0956
False,0.0,Оренбургская область,2,False,16000.0,65000.0,8786.1176,7307.373,5763.8658,5547.9907,5386.0844,4900.3653,3421.6207,2525.739,2514.9452,2417.8014,2417.8014,2191.1325,2158.7512,2126.37,1975.2574,1845.7323,1403.1883,1165.7257,1144.1382
False,0.0,Кировская область,1,False,16000.0,65000.0,8786.1176,7307.373,5763.8658,5547.9907,5386.0844,4900.3653,3421.6207,2525.739,2514.9452,2417.8014,2417.8014,2191.1325,2158.7512,2126.37,1975.2574,1845.7323,1403.1883,1165.7257,1144.1382
False,0.0,Волгоградская область,2,False,16000.0,42000.0,5677.1837,4721.6871,3724.3441,3584.8555,3480.2391,3166.3899,2210.8934,1632.0159,1625.0415,1562.2717,1562.2717,1415.8087,1394.8854,1373.9621,1276.3202,1192.627,906.6755,753.2381,739.2893
False,0.0,Нижегородская область,0,False,17500.0,88400.0,11949.1199,9938.0272,7838.8575,7545.2674,7325.0747,6664.4968,4653.4042,3435.005,3420.3255,3288.2099,3288.2099,2979.9402,2935.9017,2891.8632,2686.35,2510.1959,1908.3361,1585.3869,1556.0279
False,0.0,Курганская область,1,False,15819.0,30000.0,4055.1312,3372.6337,2660.2458,2560.6111,2485.8851,2261.7071,1579.2096,1165.7257,1160.7439,1115.9083,1115.9083,1011.2919,996.3467,981.4015,911.6573,851.8765,647.6254,538.0272,528.0638
False,0.0,Курская область,2,False,16000.0,45000.0,6082.6968,5058.9505,3990.3686,3840.9166,3728.8276,3392.5606,2368.8143,1748.5885,1741.1159,1673.8625,1673.8625,1516.9379,1494.5201,1472.1023,1367.4859,1277.8147,971.4381,807.0409,792.0956
