is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Аккуратность (СК) (575_4),"Личные установки и ценности, мировоззрение (2043_4)",Командность (СК) (1371_4),Пунктуальность (СК) (612_4),Штукатурка (713_10),Укладка плитки (250_10),Нравственность (СК) (622_4),Выполнение ремонтных работ (ОПТ) (8285_36),Высокая работоспособность (СК) (586_4),Коммуникабельность (СК) (617_4),Приготовление штукатурных растворов и смесей (448_10),Ремонт штукатурки (357_10),Трудолюбие (СК) (597_4),Выполнение штукатурки (456_10)
False,0.0,Орловская область,1,False,14000.0,45000.0,10235.6557,6501.0246,4764.3443,3834.5287,2566.5984,2435.9631,1844.2623,1828.8934,1705.9426,1613.7295,1598.3607,1582.9918,1283.2992,1252.5615,1160.3484,791.4959
False,0.0,Кировская область,1,False,14000.0,60000.0,13647.541,8668.0328,6352.459,5112.7049,3422.1311,3247.9508,2459.0164,2438.5246,2274.5902,2151.6393,2131.1475,2110.6557,1711.0656,1670.082,1547.1311,1055.3279
False,0.0,Республика Хакасия,1,False,14000.0,28500.0,6482.582,4117.3156,3017.418,2428.5348,1625.5123,1542.7766,1168.0328,1158.2992,1080.4303,1022.0287,1012.2951,1002.5615,812.7561,793.2889,734.8873,501.2807
False,0.0,Курская область,2,False,14000.0,30000.0,6823.7705,4334.0164,3176.2295,2556.3525,1711.0656,1623.9754,1229.5082,1219.2623,1137.2951,1075.8197,1065.5738,1055.3279,855.5328,835.041,773.5656,527.6639
False,0.0,Республика Алтай,1,False,15000.0,25000.0,5686.4754,3611.6803,2646.8579,2130.2937,1425.888,1353.3128,1024.5902,1016.0519,947.7459,896.5164,887.9781,879.4399,712.944,695.8675,644.638,439.7199
False,0.0,Белгородская область,2,False,14000.0,50000.0,11372.9508,7223.3607,5293.7158,4260.5874,2851.776,2706.6257,2049.1803,2032.1038,1895.4918,1793.0328,1775.9563,1758.8798,1425.888,1391.735,1289.276,879.4399
False,0.0,Самарская область,0,False,15000.0,50000.0,11372.9508,7223.3607,5293.7158,4260.5874,2851.776,2706.6257,2049.1803,2032.1038,1895.4918,1793.0328,1775.9563,1758.8798,1425.888,1391.735,1289.276,879.4399
False,0.0,Смоленская область,1,False,15000.0,50000.0,11372.9508,7223.3607,5293.7158,4260.5874,2851.776,2706.6257,2049.1803,2032.1038,1895.4918,1793.0328,1775.9563,1758.8798,1425.888,1391.735,1289.276,879.4399
False,0.0,Томская область,1,False,15000.0,50000.0,11372.9508,7223.3607,5293.7158,4260.5874,2851.776,2706.6257,2049.1803,2032.1038,1895.4918,1793.0328,1775.9563,1758.8798,1425.888,1391.735,1289.276,879.4399
False,0.0,Костромская область,1,False,15000.0,50000.0,11372.9508,7223.3607,5293.7158,4260.5874,2851.776,2706.6257,2049.1803,2032.1038,1895.4918,1793.0328,1775.9563,1758.8798,1425.888,1391.735,1289.276,879.4399
False,0.0,Брянская область,1,False,15000.0,30000.0,6823.7705,4334.0164,3176.2295,2556.3525,1711.0656,1623.9754,1229.5082,1219.2623,1137.2951,1075.8197,1065.5738,1055.3279,855.5328,835.041,773.5656,527.6639
False,0.0,Ивановская область,1,False,15000.0,55000.0,12510.2459,7945.6967,5823.0874,4686.6462,3136.9536,2977.2883,2254.0984,2235.3142,2085.041,1972.3361,1953.5519,1934.7678,1568.4768,1530.9085,1418.2036,967.3839
False,0.0,Новгородская область,1,False,15000.0,50000.0,11372.9508,7223.3607,5293.7158,4260.5874,2851.776,2706.6257,2049.1803,2032.1038,1895.4918,1793.0328,1775.9563,1758.8798,1425.888,1391.735,1289.276,879.4399
False,0.0,Камчатский край,1,False,27000.0,50000.0,11372.9508,7223.3607,5293.7158,4260.5874,2851.776,2706.6257,2049.1803,2032.1038,1895.4918,1793.0328,1775.9563,1758.8798,1425.888,1391.735,1289.276,879.4399
False,0.0,Республика Дагестан,1,False,15000.0,20000.0,4549.1803,2889.3443,2117.4863,1704.235,1140.7104,1082.6503,819.6721,812.8415,758.1967,717.2131,710.3825,703.5519,570.3552,556.694,515.7104,351.776
False,0.0,Карачаево-Черкесская Республика,1,False,15000.0,20000.0,4549.1803,2889.3443,2117.4863,1704.235,1140.7104,1082.6503,819.6721,812.8415,758.1967,717.2131,710.3825,703.5519,570.3552,556.694,515.7104,351.776
False,0.0,Московская область,2,False,19000.0,80000.0,18196.7213,11557.377,8469.9454,6816.9399,4562.8415,4330.6011,3278.6885,3251.3661,3032.7869,2868.8525,2841.5301,2814.2077,2281.4208,2226.776,2062.8415,1407.1038
False,0.0,Город федерального значения Санкт-Петербург,0,False,22500.0,80000.0,18196.7213,11557.377,8469.9454,6816.9399,4562.8415,4330.6011,3278.6885,3251.3661,3032.7869,2868.8525,2841.5301,2814.2077,2281.4208,2226.776,2062.8415,1407.1038
