is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)","(АГП) Соблюдение федеральных норм, правил и требований (6240_30)",(АГП) Управление автовышкой и автогидроподъемником (4336_30),(АГП) Выполнение ежесменного технического обслуживания (4338_30),Выполнение ремонтных работ (ОПТ) (8285_36),(АГП) Обслуживание и ремонт (3691_30),"(стропальщик) Строительные, строительно-монтажные, и монтажные работы (2876_30)",(АГП) Выявление и устранение неисправностей (4337_30),(АГП) Организация подъема и перемещения людей на высоту. (8430_30),(АГП) Знание устройства и принципа работы АГП (8450_30),(АГП) Управление машинами и механизмами различного типа и назначения (6030_30),(АГП) Ведение путевой документации (4316_30),(АГП) Соблюдать требования правил дорожного движения (4314_30),(АГП) Техническое обслуживание и проведение профилактического ремонта автовышки и автогидроподъемника (4687_30),(АГП) Выполнение работ по ежесменному техническому обслуживанию транспортного средства (автомобиля) (8459_30),"(АГП) Выполнение производственных заданий, заявок, распоряжений, поручений (4341_30)",(крановщик) Управление автомобильным краном (5200_30),(АГП) Ведение первичной технической документации (8447_30),(АГП) Знание федеральных норм и правил (5867_30),Целеустремленность (СК) (588_4),Стрессоустойчивость (СК) (601_4),"(АГП) Знание устройства, и правил эксплуатации (5870_30)","Саморазвитие, обучаемость (СК) (604_4)"
False,1.0,Курская область,2,False,20000.0,140000.0,36259.1006,18331.9058,12246.2527,8708.7794,6670.2355,5680.9422,5486.0814,4601.7131,4451.8201,4451.8201,4077.0878,3027.8373,2892.9336,2608.137,2533.1906,2383.2976,2383.2976,2158.4582,2158.4582,2008.5653,1873.6617,1828.6938,1618.8437,1558.8865
False,1.0,Тверская область,1,False,20000.0,120000.0,31079.2291,15713.0621,10496.788,7464.6681,5717.3448,4869.379,4702.3555,3944.3255,3815.8458,3815.8458,3494.6467,2595.2891,2479.6574,2235.546,2171.3062,2042.8266,2042.8266,1850.1071,1850.1071,1721.6274,1605.9957,1567.4518,1387.5803,1336.1884
False,1.0,Город федерального значения Севастополь,1,False,35000.0,120000.0,31079.2291,15713.0621,10496.788,7464.6681,5717.3448,4869.379,4702.3555,3944.3255,3815.8458,3815.8458,3494.6467,2595.2891,2479.6574,2235.546,2171.3062,2042.8266,2042.8266,1850.1071,1850.1071,1721.6274,1605.9957,1567.4518,1387.5803,1336.1884
False,1.0,Рязанская область,1,False,25000.0,30000.0,7769.8073,3928.2655,2624.197,1866.167,1429.3362,1217.3448,1175.5889,986.0814,953.9615,953.9615,873.6617,648.8223,619.9143,558.8865,542.8266,510.7066,510.7066,462.5268,462.5268,430.4069,401.4989,391.863,346.8951,334.0471
False,1.0,Смоленская область,1,False,20000.0,30000.0,7769.8073,3928.2655,2624.197,1866.167,1429.3362,1217.3448,1175.5889,986.0814,953.9615,953.9615,873.6617,648.8223,619.9143,558.8865,542.8266,510.7066,510.7066,462.5268,462.5268,430.4069,401.4989,391.863,346.8951,334.0471
False,1.0,Пензенская область,1,False,30000.0,120000.0,31079.2291,15713.0621,10496.788,7464.6681,5717.3448,4869.379,4702.3555,3944.3255,3815.8458,3815.8458,3494.6467,2595.2891,2479.6574,2235.546,2171.3062,2042.8266,2042.8266,1850.1071,1850.1071,1721.6274,1605.9957,1567.4518,1387.5803,1336.1884
False,1.0,Липецкая область,1,False,30000.0,120000.0,31079.2291,15713.0621,10496.788,7464.6681,5717.3448,4869.379,4702.3555,3944.3255,3815.8458,3815.8458,3494.6467,2595.2891,2479.6574,2235.546,2171.3062,2042.8266,2042.8266,1850.1071,1850.1071,1721.6274,1605.9957,1567.4518,1387.5803,1336.1884
False,1.0,Псковская область,1,False,37500.0,100000.0,25899.3576,13094.2184,8747.3233,6220.5567,4764.454,4057.8158,3918.6296,3286.9379,3179.8715,3179.8715,2912.2056,2162.7409,2066.3812,1862.955,1809.4218,1702.3555,1702.3555,1541.7559,1541.7559,1434.6895,1338.3298,1306.2099,1156.3169,1113.4904
False,1.0,Хабаровский край,1,False,42500.0,130000.0,33669.1649,17022.4839,11371.5203,8086.7238,6193.7901,5275.1606,5094.2184,4273.0193,4133.833,4133.833,3785.8672,2811.5632,2686.2955,2421.8415,2352.2484,2213.0621,2213.0621,2004.2827,2004.2827,1865.0964,1739.8287,1698.0728,1503.212,1447.5375
False,1.0,Архангельская область,1,False,24750.0,105000.0,27194.3255,13748.9293,9184.6895,6531.5846,5002.6767,4260.7066,4114.561,3451.2848,3338.8651,3338.8651,3057.8158,2270.8779,2169.7002,1956.1028,1899.8929,1787.4732,1787.4732,1618.8437,1618.8437,1506.424,1405.2463,1371.5203,1214.1328,1169.1649
