is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)","Личные установки и ценности, мировоззрение (2043_4)",Дисциплинированность (СК) (593_4),Закрепление подвижного состава (1740_23),Опробование тормозов (составитель поездов) (3673_23)
True,1.0,Саратовская область,2,False,100000.0,105100.0,39291.0549,26203.5617,20974.2795,9658.4557,8972.6482
True,1.0,Республика Татарстан,0,False,100000.0,100000.0,37384.4481,24932.0283,19956.4981,9189.7771,8537.2485
True,1.0,Владимирская область,1,False,100000.0,100000.0,37384.4481,24932.0283,19956.4981,9189.7771,8537.2485
True,1.0,Тульская область,1,False,48000.0,48000.0,17944.5351,11967.3736,9579.1191,4411.093,4097.8793
True,1.0,Липецкая область,1,False,100000.0,100000.0,37384.4481,24932.0283,19956.4981,9189.7771,8537.2485
True,1.0,Орловская область,1,False,100000.0,100000.0,37384.4481,24932.0283,19956.4981,9189.7771,8537.2485
True,1.0,Курская область,2,False,100000.0,100000.0,37384.4481,24932.0283,19956.4981,9189.7771,8537.2485
True,1.0,Иркутская область,1,False,40000.0,50089.5,18725.6831,12488.3283,9996.1101,4603.1134,4276.2651
True,1.0,Мурманская область,1,False,50089.5,50089.5,18725.6831,12488.3283,9996.1101,4603.1134,4276.2651
True,1.0,Республика Мордовия,1,False,50089.5,100000.0,37384.4481,24932.0283,19956.4981,9189.7771,8537.2485
True,1.0,Забайкальский край,1,False,36000.0,36000.0,13458.4013,8975.5302,7184.3393,3308.3197,3073.4095
True,1.0,Республика Бурятия,1,False,71500.0,71500.0,26729.8804,17826.4002,14268.8961,6570.6906,6104.1327
True,1.0,Архангельская область,1,False,45000.0,45000.0,16823.0016,11219.4127,8980.4241,4135.3997,3841.7618
True,1.0,Город федерального значения Санкт-Петербург,0,False,43500.0,71500.0,26729.8804,17826.4002,14268.8961,6570.6906,6104.1327
True,1.0,Амурская область,1,False,40000.0,40000.0,14953.7792,9972.8113,7982.5992,3675.9108,3414.8994
True,1.0,Ямало-Ненецкий автономный округ,1,False,78113.0,78113.0,29202.1139,19475.1552,15588.6194,7178.4105,6668.7009
True,1.0,Город федерального значения Москва,0,False,66250.0,95000.0,35515.2257,23685.4269,18958.6732,8730.2882,8110.3861
True,1.0,Тверская область,1,False,100000.0,100000.0,37384.4481,24932.0283,19956.4981,9189.7771,8537.2485
True,1.0,Московская область,2,False,66250.0,66250.0,24767.1968,16517.4687,13221.18,6088.2273,5655.9271
True,1.0,Республика Калмыкия,1,False,46000.0,46000.0,17196.8461,11468.733,9179.9891,4227.2974,3927.1343
True,0.0,Тюменская область,1,False,35000.0,35000.0,13084.5568,8726.2099,6984.7743,3216.422,2988.037
True,0.0,Свердловская область,0,False,23500.0,40000.0,14953.7792,9972.8113,7982.5992,3675.9108,3414.8994
True,0.0,Новосибирская область,0,False,45000.0,45000.0,16823.0016,11219.4127,8980.4241,4135.3997,3841.7618
True,0.0,Тульская область,1,False,45000.0,45000.0,16823.0016,11219.4127,8980.4241,4135.3997,3841.7618
True,0.0,Республика Коми,1,False,45000.0,45000.0,16823.0016,11219.4127,8980.4241,4135.3997,3841.7618
True,0.0,Иркутская область,1,False,38000.0,61500.0,22991.4356,15333.1974,12273.2463,5651.7129,5250.4078
True,0.0,Забайкальский край,1,False,53561.0,54226.5,20272.2777,13519.7663,10821.7104,4983.2945,4629.4511
True,0.0,Амурская область,1,False,37250.0,53561.0,20023.4842,13353.8437,10688.8999,4922.1365,4572.6357
True,0.0,Ямало-Ненецкий автономный округ,1,False,60000.0,60000.0,22430.6688,14959.217,11973.8989,5513.8662,5122.3491
True,0.0,Московская область,2,False,65000.0,65000.0,24299.8912,16205.8184,12971.7238,5973.3551,5549.2115
True,2.0,Воронежская область,2,False,90000.0,90000.0,33646.0033,22438.8254,17960.8483,8270.7993,7683.5237
True,2.0,Волгоградская область,2,False,90000.0,90000.0,33646.0033,22438.8254,17960.8483,8270.7993,7683.5237
True,2.0,Краснодарский край,0,False,90000.0,90000.0,33646.0033,22438.8254,17960.8483,8270.7993,7683.5237
True,2.0,Белгородская область,2,False,90000.0,90000.0,33646.0033,22438.8254,17960.8483,8270.7993,7683.5237
True,2.0,Брянская область,1,False,90000.0,90000.0,33646.0033,22438.8254,17960.8483,8270.7993,7683.5237
True,2.0,Владимирская область,1,False,90000.0,90000.0,33646.0033,22438.8254,17960.8483,8270.7993,7683.5237
True,2.0,Костромская область,1,False,90000.0,90000.0,33646.0033,22438.8254,17960.8483,8270.7993,7683.5237
True,2.0,Красноярский край,1,False,80000.0,80000.0,29907.5585,19945.6226,15965.1985,7351.8216,6829.7988
True,2.0,Забайкальский край,1,False,54000.0,54000.0,20187.602,13463.2953,10776.509,4962.4796,4610.1142
True,2.0,Курганская область,1,False,60000.0,60000.0,22430.6688,14959.217,11973.8989,5513.8662,5122.3491
