is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Выполнение ремонтных работ (ОПТ) (8285_36),Аккуратность (СК) (575_4),"Личные установки и ценности, мировоззрение (2043_4)",Командность (СК) (1371_4),"ЖКХс Монтаж, установка, замена/ремонт радиаторов отопления (8115_29)",ЖКХс Ремонт и обслуживание сантехнических и теплотехнических систем и  оборудования (6084_29),ЖКХс Ремонт и техническое обслуживание сантехнического и теплотехнического оборудования (6094_29),Склонность к здоровому образу жизни (СК) (1662_4),Коммуникабельность (СК) (617_4),ЖКХ фразы слишком широкой формулировки по монтажу сантехнических систем (2523_29)
False,0.0,Владимирская область,1,False,12000.0,55000.0,16191.8329,11517.094,5144.8243,3812.9155,3499.5252,3107.7873,2428.7749,2324.3115,2272.0798,1801.9943,1462.4881,1436.3723
False,0.0,Московская область,2,False,12000.0,55000.0,16191.8329,11517.094,5144.8243,3812.9155,3499.5252,3107.7873,2428.7749,2324.3115,2272.0798,1801.9943,1462.4881,1436.3723
False,0.0,Московская область,2,True,18000.0,25600.0,7536.5622,5360.6838,2394.6819,1774.7388,1628.8699,1446.5337,1130.4843,1081.8613,1057.5499,838.7464,680.7217,668.566
False,0.0,Тульская область,1,False,12000.0,45000.0,13247.8632,9423.0769,4209.4017,3119.6581,2863.2479,2542.735,1987.1795,1901.7094,1858.9744,1474.359,1196.5812,1175.2137
False,0.0,Тюменская область,1,False,9670.0,40000.0,11775.8784,8376.0684,3741.6904,2773.0294,2545.1092,2260.2089,1766.3818,1690.4084,1652.4217,1310.5413,1063.6277,1044.6344
False,0.0,Тюменская область,1,True,14196.5,22732.0,6692.2317,4760.1197,2126.4027,1575.9126,1446.3856,1284.4767,1003.8348,960.6591,939.0712,744.7806,604.4596,593.6657
False,0.0,Хабаровский край,1,False,12000.0,50000.0,14719.8481,10470.0855,4677.113,3466.2868,3181.3865,2825.2612,2207.9772,2113.0104,2065.5271,1638.1766,1329.5347,1305.793
False,0.0,Хабаровский край,1,True,15150.0,15150.0,4460.114,3172.4359,1417.1652,1050.2849,963.9601,856.0541,669.0171,640.2422,625.8547,496.3675,402.849,395.6553
False,0.0,Томская область,1,False,12000.0,50000.0,14719.8481,10470.0855,4677.113,3466.2868,3181.3865,2825.2612,2207.9772,2113.0104,2065.5271,1638.1766,1329.5347,1305.793
False,0.0,Томская область,1,True,15150.0,21115.0,6216.1918,4421.5171,1975.1448,1463.8129,1343.4995,1193.1078,932.4288,892.3243,872.2721,691.802,561.4625,551.4364
